,Accuracy,Precision,Recall,F1-Score,AUC-ROC,Weighted_Score
EBM,0.6408058294042006,0.6193958436475182,0.6408058294042006,0.6252976236528608,0.8252123636372661,0.649831702663469
Logistic Reg,0.642091727389627,0.6105878133933922,0.642091727389627,0.6148601518953994,0.8208627828374054,0.6443506156372787
SVM,0.6339477068152594,0.6079077009095595,0.6339477068152594,0.6126221011097444,0.8107863743938774,0.6391953304050602
Random Forest,0.6305186455207887,0.6035827915220708,0.6305186455207887,0.6105670314919371,0.8119339724679516,0.6366391545041568
CatBoost,0.6223746249464209,0.5987147150001995,0.6223746249464209,0.6059482256952422,0.811514152815421,0.6311690315409163
