Model,MSE,MAE,RMSE,R2-score,Score
XGBoost Regressor,8.324922724207156,2.245950366406962,2.8852942179623824,0.9100022333840267,12
CatBoost Regressor,8.44536430620947,2.268408972938988,2.906090897788552,0.9087001824525047,8
Explainable Boosting Regressor,9.384112831074034,2.3977735453913445,3.0633499361114516,0.8985517073914469,4
Random Forest Regressor,10.198262939205636,2.517619110745942,3.1934719255389794,0.8897502213177156,0
K-Nearest Neighbors Regressor,11.602486573444194,2.612218571428571,3.4062422951757547,0.8745696610773956,0
